word,ner_tag,chunk_tag
Ilya,B-NEP,B-NP
Sutskever,I-NEP,I-NP
(born,O,B-VGNF
8,B-NETI,B-NP
December,I-NETI,I-NP
1986),I-NETI,I-NP
is,O,B-VGF
an,O,B-NP
Israeli-Canadian,O,B-JJP
computer,O,I-NP
scientist,O,I-NP
who,O,O
specializes,O,B-VGF
in,O,O
machine,O,B-NP
learning.,O,I-NP

Sutskever,B-NEP,B-NP
has,O,O
made,O,B-VGNF
several,O,B-NP
major,O,B-JJP
contributions,O,I-NP
to,O,O
the,O,B-NP
field,O,I-NP
of,O,O
deep,O,B-JJP
learning.,O,I-NP

With,O,O
Alex,B-NEP,B-NP
Krizhevsky,I-NEP,I-NP
and,O,O
Geoffrey,B-NEP,B-NP
"Hinton,",I-NEP,I-NP
he,O,O
co-invented,O,B-VGF
"AlexNet,",B-NEAR,B-NP
a,O,B-NP
convolutional,O,B-JJP
neural,O,I-NP
network.,O,I-NP

Sutskever,B-NEP,B-NP
co-founded,O,B-VGF
and,O,O
was,O,B-VGF
a,O,B-NP
former,O,B-JJP
chief,O,I-NP
scientist,O,I-NP
at,O,O
OpenAI.,B-NEO,B-NP

In,O,O
"2023,",O,B-NP
he,O,O
was,O,B-VGF
one,O,B-NP
of,O,O
the,O,B-NP
OpenAI's,O,I-NP
board,O,I-NP
that,O,O
ousted,O,B-VGF
Sam,B-NEP,B-NP
Altman,I-NEP,I-NP
from,O,O
his,O,B-NP
position,O,I-NP
as,O,O
CEO;,O,B-NP

Altman,B-NEP,B-NP
returned,O,B-VGF
a,O,B-NP
week,O,I-NP
"later,",O,O
and,O,O
Sutskever,B-NEP,B-NP
stepped,O,B-VGF
down,O,O
from,O,O
the,O,B-NP
board.,O,I-NP

In,O,O
June,O,B-NP
"2024,",O,I-NP
Sutskever,B-NEP,B-NP
co-founded,O,B-VGF
the,O,B-NP
Safe,B-NEO,B-JJP
Superintelligence,I-NEO,B-NP
with,O,O
Daniel,B-NEP,B-NP
Gross,I-NEP,I-NP
and,O,O
Daniel,B-NEP,B-NP
Levy.,I-NEP,I-NP

Sutskever,B-NEP,B-NP
was,O,B-VGF
born,O,B-VGNF
into,O,O
a,O,B-NP
Jewish,O,B-JJP
family,O,I-NP
in,O,O
Nizhny,B-NEL,B-NP
"Novgorod,",I-NEL,I-NP
Russia,I-NEL,I-NP
(then,O,O
"Gorky,",I-NEL,I-NP
Soviet,I-NEL,I-NP
Union).,I-NEL,I-NP

At,O,O
the,O,B-NP
age,O,I-NP
of,O,O
"5,",O,B-NP
he,O,O
made,O,B-VGF
aliyah,O,B-NP
with,O,O
his,O,B-NP
family,O,I-NP
and,O,O
lived,O,B-VGF
in,O,O
"Jerusalem,",B-NEL,B-NP
until,O,O
he,O,O
was,O,B-VGF
"16,",O,B-NP
when,O,O
his,O,B-NP
family,O,I-NP
moved,O,B-VGF
to,O,O
Canada.,B-NEL,B-NP

Sutskever,O,B-NP
attended,O,B-VGF
the,B-NEO,B-NP
Open,I-NEO,I-NP
University,I-NEO,I-NP
of,I-NEO,I-NP
Israel,I-NEO,I-NP
from,O,O
2000,B-NETI,B-NP
to,I-NETI,I-NP
2002.,I-NETI,I-NP

After,O,O
moving,O,B-VGNF
to,O,O
"Canada,",B-NEL,B-NP
he,O,O
attended,O,B-VGF
the,B-NEO,B-NP
University,I-NEO,I-NP
of,I-NEO,I-NP
Toronto,I-NEO,I-NP
in,O,O
Ontario.,B-NEL,B-NP

Educated,O,B-VGNF
at,O,O
the,B-NEO,B-NP
University,I-NEO,I-NP
of,I-NEO,I-NP
"Toronto,",I-NEO,I-NP
Sutskever,O,B-NP
received,O,B-VGF
a,O,B-NP
Bachelor,O,I-NP
of,O,O
Science,O,I-NP
in,O,O
mathematics,O,I-NP
in,O,O
"2005,",O,B-NP

a,O,B-NP
Master,O,I-NP
of,O,O
Science,O,I-NP
in,O,O
computer,O,I-NP
science,O,I-NP
in,O,O
"2007,",O,B-NP

and,O,O
a,O,B-NP
Doctor,O,I-NP
of,O,O
Philosophy,O,I-NP
in,O,O
computer,O,I-NP
science,O,I-NP
in,O,O
2013.,O,B-NP

His,O,B-NP
doctoral,O,B-JJP
advisor,O,I-NP
was,O,B-VGF
Geoffrey,B-NEP,B-NP
Hinton.,I-NEP,I-NP

In,O,O
"2012,",O,B-NP
Sutskever,B-NEP,B-NP
built,O,B-VGF
AlexNet,B-NEMI,B-NP
in,O,O
collaboration,O,B-NP
with,O,O
Hinton,B-NEP,B-NP
and,O,O
Krizhevsky.,B-NEP,B-NP

To,O,O
support,O,B-VGF
AlexNet's,O,B-NP
computing,O,I-NP
"demands,",O,O
he,O,O
bought,O,B-VGF
many,O,B-NP
GTX,B-NEMI,B-NP
580,I-NEMI,I-NP
GPUs,O,I-NP
online.,O,O

In,O,O
"2012,",O,B-NP
Sutskever,B-NEP,B-NP
spent,O,B-VGF
about,O,B-NP
two,O,I-NP
months,O,I-NP
as,O,O
a,O,B-NP
postdoc,O,I-NP
with,O,O
Andrew,B-NEP,B-NP
Ng,I-NEP,I-NP
at,O,O
Stanford,B-NEO,B-NP
University.,I-NEO,I-NP

He,O,O
then,O,O
returned,O,B-VGF
to,O,O
the,B-NEO,B-NP
University,I-NEO,I-NP
of,I-NEO,I-NP
Toronto,I-NEO,I-NP
and,O,O
Hinton's,O,B-NP
new,O,B-JJP
research,O,I-NP
company,O,I-NP
"DNNResearch,",B-NEO,B-NP
a,O,B-NP
spinoff,O,I-NP
of,O,O
Hinton's,O,B-NP
research,O,I-NP
group.,O,I-NP
In,O,O
"2013,",O,B-NP
Google,B-NEO,B-NP
acquired,O,B-VGF
DNNResearch,B-NEO,B-NP
and,O,O
hired,O,B-VGF
Sutskever,B-NEP,B-NP
as,O,O
a,O,B-NP
research,O,I-NP
scientist,O,I-NP
at,O,O
Google Brain.,B-NEO,B-NP

At,O,O
Google,B-NEO,B-NP
"Brain,",I-NEO,I-NP
Sutskever,B-NEP,B-NP
worked,O,B-VGF
with,O,O
Oriol,B-NEP,B-NP
Vinyals,I-NEP,I-NP
and,O,O
Quoc,B-NEP,B-NP
Viet,I-NEP,I-NP
Le,I-NEP,I-NP
to,O,O
create,O,B-VGF
the,O,B-NP
sequence-to-sequence,O,B-JJP
learning,O,I-NP
"algorithm,",O,I-NP

and,O,O
worked,O,B-VGF
on,O,O
TensorFlow.,B-NEMI,B-NP

He,O,O
is,O,B-VGF
also,O,O
one,O,B-NP
of,O,O
the,O,B-NP
AlphaGo,O,I-NP
paper's,O,I-NP
many,O,B-JJP
co-authors.,O,I-NP

At,O,O
the,O,B-NP
end,O,I-NP
of,O,O
"2015,",O,B-NP
Sutskever,B-NEP,B-NP
left,O,B-VGF
Google,B-NEO,B-NP
to,O,O
become,O,B-VGINF
cofounder,O,B-NP
and,O,O
chief,O,I-NP
scientist,O,I-NP
of,O,O
the,O,B-NP
newly,O,B-JJP
founded,O,I-JJP
organization,O,I-NP
OpenAI.,B-NEO,B-NP

In,O,O
"2022,",O,B-NP
Sutskever,B-NEP,B-NP
tweeted,O,B-VGF
"""it",O,O
may,O,B-VGF
be,O,I-VGF
that,O,O
today's,O,B-NP
large,O,B-JJP
neural,O,I-NP
networks,O,I-NP
are,O,B-VGF
slightly,O,B-JJP
"conscious"",",O,O
which,O,O
triggered,O,B-VGF
debates,O,B-NP
about,O,O
AI,O,B-NP
consciousness.,O,I-NP

Sutskever,B-NEP,B-NP
is,O,B-VGF
considered,O,B-VGNF
to,O,O
have,O,B-VGF
played,O,B-VGNF
a,O,B-NP
key,O,B-JJP
role,O,I-NP
in,O,O
ChatGPT.,B-NEMI,B-NP

In,O,O
"2023,",O,B-NP
he,O,O
announced,O,B-VGF
that,O,O
he,O,O
would,O,B-VGF
co-lead,O,B-VGF
OpenAI's,O,B-NP
new,O,B-JJP
"""Superalignment""",B-NEMI,B-NP
"project,",O,I-NP
which,O,O
is,O,B-VGF
trying,O,B-VGNF
to,O,O
solve,O,B-VGF
the,O,B-NP
alignment,O,I-NP
of,O,O
superintelligences,O,I-NP
within,O,O
four,O,B-NP
years.,O,I-NP
He,O,O
wrote,O,B-VGF
that,O,O
even,O,O
if,O,O
superintelligence,O,B-NP
seems,O,B-VGF
far,O,B-JJP
"off,",O,O
it,O,O
could,O,B-VGF
happen,O,B-VGF
this,O,B-NP
decade.,O,I-NP

Sutskever,B-NEP,B-NP
was,O,B-VGF
formerly,O,B-JJP
one,O,B-NP
of,O,O
the,O,B-NP
six,O,I-NP
board,O,I-NP
members,O,I-NP
of,O,O
the,O,B-NP
nonprofit,O,B-JJP
entity,O,I-NP
that,O,O
controls,O,B-VGF
OpenAI.,B-NEO,B-NP

On,O,O
November,O,B-NP
"17,",O,I-NP
"2023,",O,I-NP
the,O,B-NP
board,O,I-NP
fired,O,B-VGF
Sam,B-NEP,B-NP
Altman,I-NEP,I-NP
",",O,O
saying,O,B-VGNF
that,O,O
"""he",O,O
was,O,B-VGF
not,O,B-JJP
consistently,O,I-JJP
candid,O,I-JJP
in,O,O
his,O,B-NP
communications,O,I-NP
with,O,O
the,O,B-NP
"board"".",O,I-NP

The,B-NEO,B-NP
Information,I-NEO,I-NP
speculated,O,B-VGF
that,O,O
the,O,B-NP
decision,O,I-NP
was,O,B-VGF
partly,O,B-JJP
driven,O,B-VGNF
by,O,O
conflict,O,B-NP
over,O,O
the,O,B-NP
extent,O,I-NP
to,O,O
which,O,O
the,O,B-NP
company,O,I-NP
should,O,B-VGF
commit,O,B-VGF
to,O,O
AI,O,B-NP
safety.,O,I-NP

In,O,O
an,O,B-NP
all-hands,O,B-JJP
company,O,I-NP
meeting,O,I-NP
shortly,O,B-JJP
after,O,O
the,O,B-NP
board,O,I-NP
"meeting,",O,O
Sutskever,B-NEP,B-NP
said,O,B-VGF
that,O,O
firing,O,B-VGNF
Altman,B-NEP,B-NP
was,O,B-VGF
"""the",O,O
board,O,B-NP
doing,O,B-VGF
its,O,B-NP
"duty"",",O,O

but,O,O
the,O,B-NP
next,O,B-JJP
"week,",O,I-NP
he,O,O
expressed,O,B-VGF
regret,O,B-NP
at,O,O
having,O,B-VGNF
participated,O,B-VGNF
in,O,O
Altman's,O,B-NP
ouster.,O,I-NP

Altman's,O,B-NP
firing,O,I-NP
and,O,O
OpenAI's,O,B-NP
co-founder,O,I-NP
Greg,O,B-NP
Brockman's,O,I-NP
resignation,O,I-NP
led,O,B-VGF
three,O,B-NP
senior,O,B-JJP
researchers,O,I-NP
to,O,O
resign,O,B-VGF
from,O,O
OpenAI.,B-NEO,B-NP

After,O,O
"that,",O,O
Sutskever,B-NEP,B-NP
stepped,O,B-VGF
down,O,O
from,O,O
the,O,B-NP
OpenAI,B-NEO,I-NP
board,O,I-NP
and,O,O
was,O,B-VGF
absent,O,B-JJP
from,O,O
OpenAI's,O,B-NP
office.,O,I-NP
Some,O,B-NP
sources,O,I-NP
suggested,O,B-VGF
he,O,O
was,O,B-VGF
leading,O,B-VGNF
the,O,B-NP
team,O,I-NP
"remotely,",O,O
while,O,O
others,O,B-NP
said,O,B-VGF
he,O,O
no,O,B-JJP
longer,O,I-JJP
had,O,B-VGF
access,O,B-NP
to,O,O
the,O,B-NP
team's,O,I-NP
work.,O,I-NP